contrato,fatura_on_line,metodo_pagamento,gasto_mensal,gasto_total,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_cabo,streaming_filmes,servico_telefone,multiplas_linhas,genero,idoso_maior_65,possui_parceira,dependentes,tempo_contrato,id_cliente,evadido,compras_diarias,evadido_numerico
one year,0,electronic check,24.6,592.65,no,0,0,0,0,no internet service,no internet service,1,1,male,0,0,0,24,5789-ldfxo,0,0.8200000000000001,0
one year,1,bank transfer (automatic),68.75,3808.0,dsl,1,0,1,0,no,yes,1,1,female,0,1,1,56,5791-kajfd,0,2.2916666666666665,0
two year,0,bank transfer (automatic),59.85,3103.25,dsl,1,0,1,0,no,no,1,1,female,1,0,0,52,5792-jalqc,0,1.995,0
two year,0,mailed check,21.0,1210.3,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,55,5793-yoljn,0,0.7,0
one year,0,bank transfer (automatic),59.1,4134.7,dsl,0,1,1,1,no,no,1,0,female,0,1,1,69,5795-bkoye,0,1.97,0
two year,1,bank transfer (automatic),110.8,7553.6,fiber optic,1,1,1,0,yes,yes,1,1,female,0,1,0,68,5795-ktgud,0,3.6933333333333334,0
month-to-month,0,electronic check,90.6,90.6,fiber optic,0,0,0,0,yes,yes,1,0,female,0,0,0,1,5797-apwzc,1,3.02,1
two year,0,credit card (automatic),19.5,1215.1,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,63,5799-jrczo,0,0.65,0
one year,1,mailed check,104.4,5232.9,fiber optic,1,0,1,0,yes,yes,1,1,female,0,1,0,50,5802-adbrc,0,3.48,0
two year,1,bank transfer (automatic),67.8,4804.65,dsl,1,1,1,1,no,no,1,1,male,0,1,0,72,5803-nqjzo,0,2.26,0
month-to-month,1,electronic check,106.05,7554.05,fiber optic,1,1,0,0,yes,yes,1,1,male,0,1,1,70,5804-hyiez,0,3.5349999999999997,0
two year,0,mailed check,19.75,757.95,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,39,5804-jmyio,0,0.6583333333333333,0
month-to-month,1,electronic check,70.35,139.05,fiber optic,0,0,0,0,no,no,1,0,female,1,0,0,2,5804-lepim,1,2.3449999999999998,1
one year,1,credit card (automatic),20.55,57.4,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,3,5808-totxo,0,0.685,0
one year,0,bank transfer (automatic),101.25,5301.1,fiber optic,0,0,1,0,yes,yes,1,1,female,0,1,1,52,5811-iwxym,0,3.375,0
month-to-month,1,credit card (automatic),83.85,2716.3,fiber optic,0,1,1,0,no,no,1,1,male,1,0,0,33,5813-uecbu,1,2.795,1
one year,1,mailed check,64.15,1274.45,dsl,1,0,0,1,no,yes,1,0,male,0,1,0,20,5815-hgghv,0,2.1383333333333336,0
two year,1,bank transfer (automatic),80.4,5717.85,dsl,0,1,1,1,yes,yes,1,0,female,0,1,1,70,5816-jmlgy,0,2.68,0
month-to-month,0,credit card (automatic),100.3,3541.4,fiber optic,0,0,0,1,yes,yes,1,1,female,0,0,0,37,5816-qvhrx,0,3.3433333333333333,0
month-to-month,1,mailed check,51.3,419.35,dsl,0,1,0,0,no,no,1,0,female,1,0,0,7,5816-scgfc,0,1.71,0
one year,1,credit card (automatic),68.45,4014.0,dsl,1,1,1,1,no,no,1,1,female,1,1,0,56,5820-ptrym,0,2.2816666666666667,0
two year,0,bank transfer (automatic),19.9,1115.6,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,0,57,5821-mmeil,0,0.6633333333333333,0
one year,1,bank transfer (automatic),64.4,3035.35,dsl,1,1,1,0,no,no,1,1,male,0,0,1,48,5825-xjocm,0,2.146666666666667,0
month-to-month,1,credit card (automatic),96.95,5432.2,fiber optic,0,1,0,1,yes,no,1,1,male,0,1,1,56,5827-mwczk,0,3.231666666666667,0
one year,1,electronic check,100.95,1875.55,fiber optic,0,0,0,1,yes,yes,1,1,male,0,1,1,19,5828-avipd,1,3.365,1
month-to-month,1,electronic check,89.1,5618.3,fiber optic,1,1,1,0,no,no,1,1,male,1,1,0,62,5828-dwpil,0,2.9699999999999998,0
one year,1,bank transfer (automatic),68.75,1689.45,dsl,1,0,1,1,no,yes,1,0,female,0,1,0,23,5829-nvsqn,0,2.2916666666666665,0
month-to-month,1,mailed check,60.2,1834.15,dsl,1,0,0,0,no,yes,1,0,male,0,1,1,29,5832-exgtt,0,2.006666666666667,0
one year,1,bank transfer (automatic),75.35,2243.9,dsl,0,0,1,1,yes,yes,1,0,male,0,0,0,29,5832-trlpb,0,2.5116666666666663,0
month-to-month,1,credit card (automatic),69.8,134.7,fiber optic,0,0,0,0,no,no,1,0,male,0,0,0,2,5832-xkaes,1,2.3266666666666667,1
month-to-month,1,electronic check,75.45,75.45,fiber optic,0,0,0,0,no,no,1,1,male,0,0,0,1,5834-aspwa,1,2.515,1
month-to-month,1,electronic check,76.95,228.4,fiber optic,0,0,0,0,no,no,1,1,male,0,0,0,3,5835-beqeu,1,2.565,1
one year,1,credit card (automatic),58.85,1215.45,dsl,0,1,0,0,yes,no,1,0,female,0,1,1,21,5837-lxsdn,0,1.9616666666666667,0
month-to-month,1,credit card (automatic),74.55,1170.5,fiber optic,0,0,0,1,no,no,1,0,male,0,0,0,16,5839-suyvz,0,2.485,0
two year,0,bank transfer (automatic),68.25,1114.85,dsl,1,1,0,1,no,yes,1,0,female,0,1,1,16,5840-nvdcg,0,2.275,0
month-to-month,1,mailed check,88.9,454.15,fiber optic,1,0,1,0,no,yes,1,0,female,0,1,0,5,5842-pocop,1,2.9633333333333334,1
month-to-month,1,mailed check,50.0,892.7,dsl,0,0,1,0,no,no,1,0,female,0,0,0,18,5843-tthgi,0,1.6666666666666667,0
one year,1,mailed check,58.45,1955.4,dsl,1,1,1,0,no,no,1,0,female,0,1,1,33,5844-qvtat,0,1.9483333333333335,0
two year,0,mailed check,20.1,655.3,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,35,5845-bzzib,0,0.67,0
two year,0,bank transfer (automatic),24.45,1730.65,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,0,71,5846-abobj,0,0.815,0
two year,1,credit card (automatic),70.85,4973.4,dsl,1,0,1,1,no,yes,1,0,male,0,1,1,71,5846-neqvz,0,2.3616666666666664,0
month-to-month,0,credit card (automatic),88.6,2888.7,fiber optic,0,1,1,1,no,no,1,1,female,0,1,1,33,5846-qfdfi,0,2.953333333333333,0
one year,0,mailed check,20.3,475.1,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,22,5847-mxbeo,0,0.6766666666666666,0
two year,0,bank transfer (automatic),20.05,1386.9,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,68,5848-fhrfc,0,0.6683333333333333,0
one year,0,credit card (automatic),20.05,552.9,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,27,5849-ashzj,0,0.6683333333333333,0
month-to-month,0,mailed check,20.2,123.65,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,6,5850-bdwcy,0,0.6733333333333333,0
two year,0,mailed check,25.4,1782.05,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,1,70,5854-ksrbj,0,0.8466666666666666,0
two year,0,credit card (automatic),106.65,5174.35,fiber optic,1,1,1,1,no,yes,1,1,female,0,1,0,49,5855-eibde,0,3.555,0
month-to-month,1,electronic check,89.2,4040.2,fiber optic,0,0,1,0,yes,no,1,1,male,1,1,0,44,5857-tybcj,0,2.9733333333333336,0
one year,0,bank transfer (automatic),20.5,38.25,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,2,5857-xrecv,0,0.6833333333333333,0
month-to-month,0,mailed check,44.45,44.45,dsl,0,0,0,0,no,no,1,0,male,0,0,0,1,5858-eafcz,0,1.4816666666666667,0
two year,1,credit card (automatic),19.15,515.75,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,26,5859-hzylf,0,0.6383333333333333,0
two year,1,bank transfer (automatic),60.75,2893.4,dsl,1,0,1,1,yes,yes,0,0,male,0,0,0,46,5862-brixz,0,2.025,0
month-to-month,0,mailed check,18.85,163.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,10,5863-ookcl,0,0.6283333333333334,0
month-to-month,1,mailed check,31.35,31.35,dsl,0,1,0,0,no,no,0,0,male,0,0,1,1,5868-czjdr,1,1.0450000000000002,1
month-to-month,1,mailed check,20.25,20.25,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,1,5868-ytyks,0,0.675,0
month-to-month,1,electronic check,84.2,519.15,fiber optic,0,1,0,0,no,yes,1,0,male,1,1,0,6,5868-ywpdw,1,2.8066666666666666,1
one year,0,mailed check,19.8,607.7,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,32,5871-dgtxz,0,0.66,0
one year,1,electronic check,44.45,2773.9,dsl,1,0,1,0,no,yes,0,0,female,0,0,0,60,5872-oeqnh,0,1.4816666666666667,0
month-to-month,1,electronic check,69.9,69.9,fiber optic,0,0,0,0,no,no,1,0,male,0,0,0,1,5875-ypqfj,1,2.33,1
month-to-month,0,credit card (automatic),55.9,365.35,dsl,1,1,0,0,no,no,1,0,female,0,1,1,6,5876-hzvzm,1,1.8633333333333333,1
one year,0,mailed check,20.05,415.1,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,23,5876-qmyld,0,0.6683333333333333,0
two year,0,bank transfer (automatic),88.05,6520.8,dsl,1,1,1,1,yes,yes,1,1,female,0,1,0,72,5879-hmffh,0,2.935,0
month-to-month,0,electronic check,75.25,888.65,fiber optic,0,0,0,0,no,no,1,1,female,0,0,0,11,5879-sesnb,0,2.5083333333333333,0
month-to-month,0,electronic check,34.25,163.55,dsl,0,1,0,1,no,no,0,0,female,0,1,1,5,5882-cmazq,0,1.1416666666666666,0
month-to-month,1,electronic check,99.95,1931.75,fiber optic,0,1,0,0,yes,yes,1,1,male,0,0,0,19,5883-gtgvd,1,3.3316666666666666,1
two year,0,bank transfer (automatic),25.1,1857.85,no,0,0,0,0,no internet service,no internet service,1,1,female,0,1,1,72,5884-fbctl,0,0.8366666666666667,0
month-to-month,0,mailed check,69.4,69.4,fiber optic,0,0,0,0,no,no,1,0,male,0,0,0,1,5884-gcymi,1,2.3133333333333335,1
month-to-month,1,bank transfer (automatic),89.85,3161.2,fiber optic,0,0,0,1,no,yes,1,1,male,0,1,0,35,5886-vlqvu,0,2.9949999999999997,0
two year,0,bank transfer (automatic),94.35,5563.65,fiber optic,0,0,1,1,no,yes,1,1,male,0,1,1,58,5887-ikkyo,0,3.145,0
two year,1,credit card (automatic),54.95,3772.5,dsl,0,1,1,0,yes,yes,0,0,female,0,1,1,69,5888-tlmcl,,1.8316666666666668,2
month-to-month,1,electronic check,95.05,4888.7,fiber optic,0,1,1,0,yes,no,1,1,female,1,1,0,50,5889-jtmul,1,3.1683333333333334,1
month-to-month,1,electronic check,84.6,1115.2,fiber optic,0,0,0,0,no,yes,1,1,female,0,0,0,13,5889-lfoll,1,2.82,1
two year,1,mailed check,19.75,1567.0,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,72,5893-kclgt,0,0.6583333333333333,0
two year,1,credit card (automatic),81.8,4534.45,dsl,0,1,1,1,yes,yes,1,0,male,0,0,0,56,5893-pyolz,0,2.7266666666666666,0
month-to-month,0,mailed check,70.05,657.5,fiber optic,0,0,0,0,no,no,1,0,male,0,0,0,9,5895-qsxod,0,2.335,0
month-to-month,1,electronic check,50.15,168.15,dsl,0,0,1,0,no,no,1,0,male,0,1,1,3,5896-npfww,1,1.6716666666666666,1
one year,1,electronic check,105.6,7112.15,fiber optic,1,1,0,0,yes,yes,1,1,female,1,1,0,67,5897-zyekh,0,3.52,0
month-to-month,0,electronic check,89.3,2823.0,fiber optic,1,0,1,1,no,no,1,1,male,0,1,1,31,5898-igslp,0,2.9766666666666666,0
month-to-month,1,mailed check,75.0,999.45,fiber optic,0,0,0,0,no,no,1,1,female,0,0,0,13,5899-mqzzl,1,2.5,1
month-to-month,1,electronic check,94.5,2979.2,fiber optic,0,1,0,0,yes,yes,1,0,male,0,0,0,31,5899-ouvkv,0,3.15,0
two year,1,credit card (automatic),20.15,1411.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,70,5902-wblse,0,0.6716666666666666,0
month-to-month,1,mailed check,19.5,19.5,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,1,5906-bfozt,0,0.65,0
one year,1,credit card (automatic),54.15,2319.8,dsl,0,1,0,1,no,no,1,0,female,0,1,1,45,5906-cvlhp,1,1.805,1
one year,1,credit card (automatic),75.0,4213.9,dsl,1,1,0,1,yes,no,1,1,female,0,1,1,55,5906-dvapm,0,2.5,0
month-to-month,1,credit card (automatic),74.2,1133.9,fiber optic,0,0,0,0,no,no,1,1,male,1,0,0,15,5908-qmgoe,1,2.4733333333333336,1
month-to-month,1,electronic check,56.25,56.25,dsl,0,0,0,0,no,yes,1,0,female,0,0,0,1,5909-echui,1,1.875,1
one year,0,mailed check,90.15,3128.8,fiber optic,1,0,0,1,yes,no,1,0,male,1,1,0,34,5913-inrqv,0,3.0050000000000003,0
month-to-month,1,electronic check,85.45,1505.85,fiber optic,0,1,0,1,no,no,1,1,female,1,0,0,18,5914-dvbwj,1,2.8483333333333336,1
one year,0,mailed check,19.3,593.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,0,32,5914-gxmda,0,0.6433333333333333,0
two year,1,bank transfer (automatic),115.8,8424.9,fiber optic,1,1,1,1,yes,yes,1,1,male,0,1,0,72,5914-xrfqb,0,3.86,0
two year,0,mailed check,79.15,5536.5,dsl,1,1,1,1,yes,no,1,1,male,0,1,0,70,5915-anoei,0,2.6383333333333336,0
one year,0,electronic check,71.8,3472.05,dsl,1,1,1,0,no,yes,1,1,female,0,1,0,49,5915-dgnvc,0,2.393333333333333,0
month-to-month,0,credit card (automatic),69.0,147.8,dsl,0,0,1,0,yes,yes,1,0,female,0,1,0,2,5916-qewpt,0,2.3,0
month-to-month,0,electronic check,19.35,683.75,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,37,5917-hbsdw,0,0.645,0
one year,0,credit card (automatic),19.8,587.7,no,0,0,0,0,no internet service,no internet service,1,0,male,1,0,0,32,5917-ryrmg,0,0.66,0
one year,0,bank transfer (automatic),20.55,654.55,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,32,5918-vukwp,0,0.685,0
month-to-month,1,electronic check,79.35,79.35,fiber optic,0,0,0,0,yes,no,1,0,female,0,0,1,1,5919-tmrgd,1,2.645,1
month-to-month,0,mailed check,20.05,42.7,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,2,5919-vczym,0,0.6683333333333333,0
month-to-month,1,mailed check,73.55,4764.0,fiber optic,1,0,0,0,no,no,1,0,male,0,1,0,64,5921-ngyrh,0,2.4516666666666667,0
month-to-month,0,mailed check,89.65,1761.05,fiber optic,0,0,1,0,no,yes,1,1,female,0,1,0,19,5922-abdvo,1,2.9883333333333337,1
month-to-month,1,electronic check,104.4,1081.45,fiber optic,1,1,1,0,yes,yes,1,0,male,0,0,0,10,5923-gxuoc,1,3.48,1
month-to-month,1,electronic check,72.8,930.05,dsl,0,1,1,1,yes,no,1,1,male,0,1,1,13,5924-ifqtt,0,2.4266666666666667,0
one year,1,credit card (automatic),20.25,865.0,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,1,41,5924-sngkp,0,0.675,0
month-to-month,1,electronic check,76.25,684.85,fiber optic,0,0,0,0,no,no,1,1,male,0,0,0,9,5928-qldhb,0,2.5416666666666665,0
two year,1,credit card (automatic),81.5,5553.25,dsl,1,1,1,1,no,yes,1,1,male,0,0,0,69,5930-gbiwp,0,2.716666666666667,0
month-to-month,1,mailed check,70.1,467.55,fiber optic,0,0,0,0,no,no,1,0,male,1,1,0,7,5931-fljjf,1,2.3366666666666664,1
month-to-month,1,electronic check,84.75,1816.75,fiber optic,0,0,0,0,no,yes,1,1,female,0,0,1,22,5934-rmpov,0,2.825,0
month-to-month,1,credit card (automatic),75.3,1702.9,fiber optic,0,0,1,0,no,no,1,0,female,0,1,1,23,5934-tssau,0,2.51,0
month-to-month,1,electronic check,94.2,1608.15,fiber optic,0,0,0,0,yes,yes,1,1,female,1,0,0,17,5935-fccnb,0,3.14,0
month-to-month,1,electronic check,96.5,1392.25,fiber optic,1,0,1,0,yes,no,1,1,male,1,1,0,15,5937-eorgb,0,3.216666666666667,0
two year,0,bank transfer (automatic),26.3,1245.05,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,1,48,5939-sxwhm,0,0.8766666666666667,0
month-to-month,1,mailed check,56.1,1033.9,dsl,0,0,1,0,no,no,1,1,female,0,0,0,19,5939-xaixz,0,1.87,0
month-to-month,0,mailed check,70.6,70.6,fiber optic,0,0,0,0,no,no,1,0,male,0,0,0,1,5940-ahuhd,1,2.353333333333333,1
month-to-month,1,electronic check,83.65,1465.75,fiber optic,0,0,0,0,no,yes,1,1,male,0,1,1,19,5940-nfxkv,1,2.7883333333333336,1
one year,1,electronic check,93.45,4872.2,fiber optic,0,0,0,1,yes,yes,1,0,female,0,1,0,53,5943-pwapa,,3.115,2
one year,0,credit card (automatic),54.9,3045.75,dsl,0,0,1,1,yes,yes,0,0,male,0,0,0,53,5944-ugllk,0,1.8299999999999998,0
one year,1,electronic check,109.6,7854.15,fiber optic,1,1,1,0,yes,yes,1,1,male,0,1,0,71,5945-azyht,0,3.6533333333333333,0
month-to-month,1,bank transfer (automatic),105.35,1559.25,fiber optic,0,1,1,0,yes,yes,1,1,female,0,1,1,15,5947-sgkcl,0,3.5116666666666663,0
month-to-month,0,mailed check,49.25,97.0,dsl,0,1,0,0,no,no,1,0,male,0,0,0,2,5948-ujzlf,0,1.6416666666666666,0
month-to-month,0,credit card (automatic),61.45,229.55,dsl,0,0,0,1,no,yes,1,0,male,0,1,1,4,5949-ebsqk,1,2.0483333333333333,1
month-to-month,1,electronic check,73.05,1959.5,dsl,0,1,0,1,yes,yes,1,0,female,0,1,0,26,5949-hgvjl,0,2.435,0
month-to-month,1,electronic check,83.55,680.05,fiber optic,0,1,0,0,yes,no,1,0,female,0,1,1,8,5949-xikae,1,2.7849999999999997,1
month-to-month,0,bank transfer (automatic),84.3,1537.9,fiber optic,0,0,0,0,yes,no,1,1,male,0,0,0,18,5950-aaagj,0,2.81,0
month-to-month,1,credit card (automatic),66.4,2245.4,dsl,0,1,1,0,yes,no,1,0,male,0,0,0,33,5951-aofih,0,2.2133333333333334,0
two year,1,credit card (automatic),107.5,7853.7,fiber optic,0,0,1,1,yes,yes,1,1,female,0,0,0,72,5954-bdfsg,0,3.5833333333333335,0
month-to-month,1,mailed check,20.95,109.5,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,6,5955-epoaz,0,0.6983333333333334,0
month-to-month,1,electronic check,94.7,1687.95,fiber optic,0,0,0,0,yes,yes,1,1,male,0,1,0,18,5955-erihd,1,3.1566666666666667,1
month-to-month,1,electronic check,74.35,334.8,fiber optic,0,0,0,0,no,no,1,1,female,1,1,0,5,5956-vkdtt,1,2.478333333333333,1
month-to-month,1,electronic check,104.35,2271.85,fiber optic,0,1,1,0,yes,yes,1,1,male,1,0,0,21,5956-yhhrx,0,3.478333333333333,0
month-to-month,1,credit card (automatic),96.15,3019.25,fiber optic,0,0,0,0,yes,yes,1,1,male,1,0,0,32,5959-belxa,1,3.205,1
month-to-month,1,electronic check,29.75,96.85,dsl,0,0,0,1,no,no,0,0,male,0,0,0,3,5960-mvtuk,0,0.9916666666666667,0
month-to-month,1,electronic check,79.05,79.05,fiber optic,0,0,0,0,yes,no,1,0,male,0,0,0,1,5960-wpxqm,1,2.635,1
one year,1,bank transfer (automatic),19.35,219.35,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,12,5961-vusrv,0,0.645,0
two year,0,bank transfer (automatic),105.25,7609.75,fiber optic,1,0,1,0,yes,yes,1,1,male,0,1,1,72,5965-ggprw,0,3.5083333333333333,0
one year,1,mailed check,108.5,6880.85,fiber optic,1,0,1,1,yes,yes,1,1,male,0,1,0,64,5966-emazu,0,3.6166666666666667,0
two year,0,mailed check,24.55,1160.45,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,1,47,5968-hyjrz,0,0.8183333333333334,0
month-to-month,1,bank transfer (automatic),46.6,87.9,dsl,0,0,0,0,no,no,1,0,male,0,0,0,2,5968-vxzlg,0,1.5533333333333335,0
one year,1,electronic check,89.7,6588.95,fiber optic,0,1,0,0,yes,no,1,1,male,0,1,1,72,5968-xqive,0,2.99,0
two year,0,credit card (automatic),19.95,862.4,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,46,5970-ghjaw,0,0.6649999999999999,0
month-to-month,1,electronic check,87.35,4473.0,fiber optic,0,1,1,1,no,no,1,1,male,0,0,0,51,5973-ejgdp,0,2.9116666666666666,0
one year,1,credit card (automatic),63.7,2188.5,dsl,1,0,1,0,no,yes,1,0,male,0,1,1,36,5975-baicr,0,2.1233333333333335,0
month-to-month,1,electronic check,70.3,738.2,fiber optic,0,0,0,0,no,no,1,0,male,0,1,0,10,5976-jcjrh,1,2.3433333333333333,1
month-to-month,1,bank transfer (automatic),92.55,4039.0,fiber optic,0,0,1,0,no,yes,1,1,female,0,1,1,43,5977-ckhon,0,3.085,0
two year,1,bank transfer (automatic),87.1,6230.1,dsl,1,1,1,1,yes,yes,1,1,male,0,1,0,72,5980-bdhpy,0,2.9033333333333333,0
month-to-month,1,electronic check,96.1,4364.1,fiber optic,0,0,0,0,yes,yes,1,1,female,0,1,0,44,5980-noplp,1,3.203333333333333,1
month-to-month,1,bank transfer (automatic),97.1,3706.95,fiber optic,0,0,0,0,yes,yes,1,1,male,0,1,0,40,5981-itemu,1,3.2366666666666664,1
one year,1,electronic check,108.35,3726.15,fiber optic,1,1,1,0,yes,yes,1,1,female,1,0,0,35,5981-zvxot,0,3.6116666666666664,0
month-to-month,1,electronic check,95.15,3532.85,fiber optic,0,1,1,0,no,yes,1,1,female,0,1,1,37,5982-fpvqn,0,3.171666666666667,0
two year,1,credit card (automatic),91.1,2198.3,dsl,1,1,1,1,yes,yes,1,1,female,0,1,1,23,5982-psmkw,0,3.0366666666666666,0
two year,0,bank transfer (automatic),26.5,1698.55,no,0,0,0,0,no internet service,no internet service,1,1,female,0,0,0,65,5982-xmdex,0,0.8833333333333333,0
one year,0,credit card (automatic),105.0,7578.05,fiber optic,0,1,1,0,yes,yes,1,1,female,1,1,0,72,5985-behzk,0,3.5,0
one year,0,mailed check,74.75,2282.95,dsl,1,0,0,0,yes,yes,1,1,female,0,0,0,32,5985-tbabq,0,2.4916666666666667,0
one year,0,bank transfer (automatic),19.35,779.2,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,39,5986-wwxdv,0,0.645,0
two year,0,mailed check,118.6,7990.05,fiber optic,1,1,1,1,yes,yes,1,1,female,0,1,0,68,5989-axpuc,0,3.953333333333333,0
one year,0,electronic check,57.6,1367.75,dsl,1,1,1,0,yes,yes,0,0,female,0,1,1,24,5989-omnje,0,1.9200000000000002,0
month-to-month,1,electronic check,86.25,1340.1,fiber optic,0,1,0,0,no,yes,1,0,female,0,0,0,16,5989-pgkjb,0,2.875,0
one year,0,credit card (automatic),20.05,267.0,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,12,5993-bqhea,0,0.6683333333333333,0
two year,1,bank transfer (automatic),61.15,4017.45,dsl,1,1,1,0,no,no,1,0,female,0,0,0,66,5993-jsuwv,0,2.038333333333333,0
two year,1,credit card (automatic),25.3,1474.35,no,0,0,0,0,no internet service,no internet service,1,1,male,0,0,0,58,5995-lftle,0,0.8433333333333334,0
month-to-month,0,mailed check,56.65,654.85,dsl,1,0,0,1,no,no,1,0,male,0,0,0,12,5995-oiglp,1,1.8883333333333332,1
month-to-month,1,electronic check,104.45,2184.85,fiber optic,0,1,1,0,yes,yes,1,1,male,1,1,0,23,5995-snnew,0,3.481666666666667,0
one year,1,electronic check,19.8,695.05,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,37,5995-wwkkg,0,0.66,0
month-to-month,1,mailed check,20.45,20.45,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,1,5996-daoql,0,0.6816666666666666,0
two year,1,bank transfer (automatic),69.9,4615.9,dsl,0,0,1,1,no,yes,1,1,female,0,1,1,67,5996-ebtkm,0,2.33,0
one year,1,credit card (automatic),98.15,4116.8,fiber optic,1,1,1,1,yes,no,1,0,male,1,1,0,40,5996-nrvxr,0,3.271666666666667,0
two year,1,bank transfer (automatic),89.05,6254.45,dsl,1,1,1,1,yes,yes,1,1,male,0,1,0,72,5997-opvfa,0,2.9683333333333333,0
two year,1,bank transfer (automatic),94.35,5703.0,fiber optic,0,1,0,1,no,yes,1,1,female,0,1,0,61,5998-dzlyr,0,3.145,0
month-to-month,1,electronic check,80.5,2088.8,fiber optic,0,0,0,1,no,no,1,1,male,0,0,0,26,5998-vvejy,1,2.683333333333333,1
month-to-month,0,mailed check,29.9,29.9,dsl,1,0,0,0,no,no,0,0,female,0,0,0,1,5999-lcxao,0,0.9966666666666666,0
month-to-month,1,electronic check,80.8,713.1,fiber optic,0,0,0,0,no,yes,1,0,male,0,0,0,9,6000-apylu,1,2.6933333333333334,1
two year,0,mailed check,20.15,802.35,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,41,6000-uklwi,0,0.6716666666666666,0
month-to-month,1,electronic check,89.15,2277.65,fiber optic,0,1,0,0,yes,no,1,1,female,1,0,0,26,6005-obzph,1,2.9716666666666667,1
two year,1,bank transfer (automatic),115.8,8476.5,fiber optic,1,1,1,1,yes,yes,1,1,female,0,1,1,72,6007-tctst,0,3.86,0
one year,1,electronic check,55.45,2966.95,dsl,0,1,1,0,yes,yes,0,0,male,1,0,0,54,6008-naixk,0,1.8483333333333334,0
two year,0,bank transfer (automatic),25.15,1940.85,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,0,70,6010-ddppw,0,0.8383333333333333,0
two year,1,bank transfer (automatic),81.0,4976.15,dsl,0,0,1,1,yes,yes,1,1,male,0,1,1,61,6013-bhcaw,0,2.7,0
month-to-month,1,credit card (automatic),83.15,446.05,fiber optic,0,0,0,0,yes,no,1,1,female,1,0,0,5,6015-vvhhe,1,2.771666666666667,1
one year,1,credit card (automatic),103.25,5037.55,fiber optic,1,1,0,0,yes,yes,1,1,female,0,1,1,48,6016-ejgnt,,3.441666666666667,2
month-to-month,0,mailed check,20.65,716.4,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,34,6016-lvtjq,0,0.6883333333333332,0
one year,1,mailed check,19.15,638.0,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,35,6016-nxbnj,0,0.6383333333333333,0
month-to-month,1,mailed check,94.9,360.55,fiber optic,1,1,0,1,no,yes,1,0,male,0,0,0,4,6016-qskvi,,3.1633333333333336,2
month-to-month,1,electronic check,70.45,1470.95,fiber optic,0,0,0,0,no,no,1,0,male,0,1,1,20,6017-pplpx,1,2.3483333333333336,1
month-to-month,0,bank transfer (automatic),29.05,44.75,dsl,0,0,0,1,no,no,0,0,female,0,1,1,2,6022-kouqo,0,0.9683333333333334,0
month-to-month,1,electronic check,74.2,74.2,fiber optic,0,0,0,0,no,no,1,1,female,1,0,0,1,6022-mxomf,,2.4733333333333336,2
month-to-month,1,electronic check,74.4,2276.95,fiber optic,0,1,0,0,no,no,1,0,female,1,0,0,32,6022-uggso,1,2.48,1
two year,1,credit card (automatic),61.45,4131.2,dsl,0,1,0,0,no,yes,1,0,female,0,1,0,69,6023-gssxw,0,2.0483333333333333,0
